"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0.4,1,NA,1,1.36785578727722,1,0.746874809265137
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0.6,1,NA,1,1.11600661277771,1,0.873061895370483
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0.8,1,NA,1,1.28373503684998,1,0.917351007461548
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0,1,NA,0.007,1.34718155860901,0.003,0.776957750320435
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.2,1,NA,0.008,1.1948733329773,0.003,0.724199295043945
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.4,1,NA,0.012,1.16576862335205,0.003,0.736879825592041
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.6,1,NA,0.012,1.23821115493774,0.003,0.723669767379761
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.8,1,NA,0.011,1.14379143714905,0.003,0.780313730239868
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0,1,NA,0.904,1.15265011787415,0.895,0.894453287124634
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.2,1,NA,0.857,1.13679599761963,0.746,0.741689920425415
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.4,1,NA,0.771,1.18388080596924,0.54,0.762435436248779
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.6,1,NA,0.648,1.15835809707642,0.419,0.698474645614624
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.8,1,NA,0.552,1.13180541992188,0.327,0.711536645889282
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0,1,NA,1,1.21993327140808,1,0.861214637756348
