"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANOVA",0.082,0.663718461990356
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANOVA",0.045,0.758579730987549
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANOVA",0.083,0.681263208389282
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANOVA",0.067,0.663851261138916
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANOVA",0.068,0.698026418685913
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANOVA",0.052,0.964414596557617
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANOVA",0.067,0.666661024093628
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANOVA",0.068,0.666043996810913
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANOVA",0.067,0.670706510543823
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANOVA",0.048,0.741719007492065
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANOVA",0.067,0.660027742385864
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANOVA",0.064,0.705890893936157
