"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",0.056,1.18958020210266,"MANOVA",0.048,0.741719007492065,0.8,15.3846153846154
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",0.086,1.06888794898987,"MANOVA",0.067,0.660027742385864,1.9,24.8366013071895
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.079,1.16257834434509,"MANOVA",0.064,0.705890893936157,1.5,20.979020979021
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.079,1.12655758857727,"MANOVA",0.063,0.69788932800293,1.6,22.5352112676056
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.06,1.11569166183472,"MANOVA",0.049,0.773931741714478,1.1,20.1834862385321
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.08,1.07248139381409,"MANOVA",0.063,0.677871227264404,1.7,23.7762237762238
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.073,1.09275269508362,"MANOVA",0.063,0.697251319885254,1,14.7058823529412
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.072,1.06002926826477,"MANOVA",0.059,0.917653322219849,1.3,19.8473282442748
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.056,1.20811653137207,"MANOVA",0.049,0.773717164993286,0.7,13.3333333333333
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.075,1.04131197929382,"MANOVA",0.06,0.702214241027832,1.5,22.2222222222222
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.134,1.21353816986084,"MANOVA",0.132,0.66581130027771,0.2,1.50375939849624
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.132,1.10054397583008,"MANOVA",0.131,0.66782283782959,0.1,0.760456273764259
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.045,1.11765646934509,"MANOVA",0.045,0.738580703735352,0,0
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.13,1.07374286651611,"MANOVA",0.128,0.651279926300049,0.2,1.55038759689923
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0525,1000,"MANTA",0.13,1.04593014717102,"MANOVA",0.092,0.711330652236938,3.8,34.2342342342342
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0525,1000,"MANTA",0.125,1.12623476982117,"MANOVA",0.099,0.686173915863037,2.6,23.2142857142857
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0525,1000,"MANTA",0.05,1.10615563392639,"MANOVA",0.052,0.764654159545898,0.199999999999999,3.92156862745097
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0525,1000,"MANTA",0.128,1.03547525405884,"MANOVA",0.095,0.685635089874268,3.3,29.5964125560538
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANTA",0.127,1.05371451377869,"MANOVA",0.093,0.691699981689453,3.4,30.9090909090909
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANTA",0.126,1.05151867866516,"MANOVA",0.089,0.69641900062561,3.7,34.4186046511628
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANTA",0.056,1.09055542945862,"MANOVA",0.049,0.756426811218262,0.7,13.3333333333333
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANTA",0.127,1.08155393600464,"MANOVA",0.091,0.885924577713013,3.6,33.0275229357798
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANTA",0.116,1.14230155944824,"MANOVA",0.082,0.672691106796265,3.4,34.3434343434343
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANTA",0.116,1.09368395805359,"MANOVA",0.079,0.665839195251465,3.7,37.948717948718
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANTA",0.062,1.12221956253052,"MANOVA",0.051,0.728882074356079,1.1,19.4690265486726
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANTA",0.115,1.1060152053833,"MANOVA",0.08,0.671867370605469,3.5,35.8974358974359
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANTA",0.106,1.17622947692871,"MANOVA",0.079,0.683099269866943,2.7,29.1891891891892
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANTA",0.104,1.06438732147217,"MANOVA",0.077,0.68779730796814,2.7,29.8342541436464
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANTA",0.058,1.11031723022461,"MANOVA",0.05,0.738576889038086,0.8,14.8148148148148
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANTA",0.103,1.06103229522705,"MANOVA",0.078,0.67195200920105,2.5,27.6243093922652
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANTA",0.202,1.06490325927734,"MANOVA",0.199,0.691969633102417,0.3,1.49625935162095
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANTA",0.199,1.05740714073181,"MANOVA",0.195,0.894027709960938,0.4,2.03045685279188
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANTA",0.044,1.20709848403931,"MANOVA",0.045,0.761045694351196,0.1,2.24719101123596
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANTA",0.2,1.036461353302,"MANOVA",0.195,0.684727191925049,0.5,2.53164556962026
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANTA",0.195,1.09643483161926,"MANOVA",0.139,0.666354894638062,5.6,33.5329341317365
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANTA",0.192,1.07694840431213,"MANOVA",0.139,0.684352397918701,5.3,32.02416918429
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANTA",0.052,1.09686326980591,"MANOVA",0.052,0.789265632629395,0,0
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANTA",0.196,1.12107825279236,"MANOVA",0.139,0.68145489692688,5.7,34.0298507462687
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.07,1000,"MANTA",0.169,1.07252955436707,"MANOVA",0.119,0.70099663734436,5,34.7222222222222
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.07,1000,"MANTA",0.171,1.05160212516785,"MANOVA",0.12,0.89193606376648,5.1,35.0515463917526
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.07,1000,"MANTA",0.057,1.10206484794617,"MANOVA",0.05,0.817797183990479,0.7,13.0841121495327
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.07,1000,"MANTA",0.17,1.10755181312561,"MANOVA",0.118,0.668938636779785,5.2,36.1111111111111
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.07,1000,"MANTA",0.157,1.08618354797363,"MANOVA",0.107,0.663522720336914,5,37.8787878787879
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.07,1000,"MANTA",0.159,1.13113856315613,"MANOVA",0.105,0.669284582138062,5.4,40.9090909090909
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.07,1000,"MANTA",0.062,1.18744945526123,"MANOVA",0.052,0.739405632019043,1,17.5438596491228
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.07,1000,"MANTA",0.159,1.07274460792542,"MANOVA",0.106,0.658973217010498,5.3,40
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.07,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.07,1000,"MANTA",0.141,1.08373594284058,"MANOVA",0.098,0.684492588043213,4.3,35.9832635983263
