"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.075,1.10236573219299,"MANOVA",0.063,0.713424444198608,1.2,17.3913043478261
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.073,1.08156728744507,"MANOVA",0.063,0.692877531051636,1,14.7058823529412
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.09225177764893,"MANOVA",0.06,0.742656946182251,1.1,16.793893129771
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.07,1.11150670051575,"MANOVA",0.058,0.722182512283325,1.2,18.75
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.056,1.18321371078491,"MANOVA",0.051,0.818535327911377,0.5,9.34579439252337
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.15160942077637,"MANOVA",0.058,0.784488201141357,1.3,20.1550387596899
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.08658885955811,"MANOVA",0.06,0.732869863510132,1.1,16.793893129771
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.0823061466217,"MANOVA",0.06,0.694889068603516,1.1,16.793893129771
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.068,1.11441564559937,"MANOVA",0.057,0.720309972763062,1.1,17.6
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.067,1.13267207145691,"MANOVA",0.058,0.728794574737549,0.9,14.4
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.05,1.14710426330566,"MANOVA",0.048,0.814584016799927,0.2,4.08163265306123
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.064,1.09591555595398,"MANOVA",0.057,0.714541435241699,0.7,11.5702479338843
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.068,1.10409164428711,"MANOVA",0.057,0.757168769836426,1.1,17.6
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.069,1.15364837646484,"MANOVA",0.057,0.713724851608276,1.2,19.047619047619
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.161,1.13477849960327,"MANOVA",0.155,0.771971464157104,0.6,3.79746835443038
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.157,1.13133454322815,"MANOVA",0.157,0.701620101928711,0,0
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.055,1.1217052936554,"MANOVA",0.052,0.838782548904419,0.3,5.60747663551402
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.162,1.14851093292236,"MANOVA",0.155,0.734885692596436,0.700000000000001,4.41640378548896
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.157,1.08523058891296,"MANOVA",0.155,0.673701286315918,0.2,1.28205128205128
