"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.259,1.12286472320557
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.26,1.06372213363647
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.229,1.13298177719116
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.231,1.13795208930969
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.061,1.16481328010559
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.233,1.11988615989685
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.229,1.09762263298035
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.232,1.12382912635803
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.202,1.13200998306274
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.208,1.13314461708069
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.056,1.16725850105286
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.205,1.18632030487061
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.201,1.11048865318298
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.2,1.06179738044739
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.542,1.13977527618408
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.546,1.11327266693115
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.06,1.19190502166748
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.548,1.13931751251221
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.549,1.08405017852783
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.534,1.1734676361084
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.558,1.13343524932861
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.546,1.13295865058899
