"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANOVA",0.155,0.69579291343689
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.114,0.680531024932861
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.115,0.722244739532471
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.046,0.813001871109009
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.115,1.08846282958984
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.114,0.692660570144653
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.114,0.753266334533691
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.1,0.723921298980713
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.101,0.704132318496704
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.047,0.800247430801392
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.101,0.763570785522461
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.1,0.799877882003784
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.1,0.696739912033081
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.095,0.701751232147217
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.095,0.810485601425171
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.054,0.775066137313843
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.096,0.695471048355103
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.095,0.711950063705444
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.095,0.760333299636841
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANOVA",0.087,0.785237789154053
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANOVA",0.081,0.764050245285034
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANOVA",0.052,0.77620267868042
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANOVA",0.082,0.832596063613892
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANOVA",0.087,0.73423433303833
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANOVA",0.087,0.694847106933594
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANOVA",0.301,0.700782775878906
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANOVA",0.3,0.7210533618927
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANOVA",0.056,0.79478120803833
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANOVA",0.301,0.735857009887695
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANOVA",0.301,0.712531805038452
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANOVA",0.301,0.71309494972229
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANOVA",0.229,0.750972509384155
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANOVA",0.225,0.726475477218628
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANOVA",0.049,0.817304611206055
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANOVA",0.225,0.696048498153687
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANOVA",0.229,0.693458557128906
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANOVA",0.229,0.735033512115479
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANOVA",0.182,0.783590793609619
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANOVA",0.179,0.680950880050659
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANOVA",0.047,0.793464183807373
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANOVA",0.18,0.714933156967163
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANOVA",0.182,0.741678237915039
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANOVA",0.182,0.71294379234314
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANOVA",0.157,0.70390796661377
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANOVA",0.151,0.725752830505371
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANOVA",0.055,0.838849306106567
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANOVA",0.154,0.73492169380188
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANOVA",0.157,0.781590938568115
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANOVA",0.157,0.693492412567139
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANOVA",0.132,0.740456104278564
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANOVA",0.13,0.70061445236206
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANOVA",0.053,0.773557424545288
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANOVA",0.135,0.807592153549194
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANOVA",0.132,1.10137867927551
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANOVA",0.132,0.71370530128479
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANOVA",0.543,0.700185537338257
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANOVA",0.542,0.700992584228516
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANOVA",0.056,0.81592869758606
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANOVA",0.543,0.715299844741821
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANOVA",0.543,0.692802429199219
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANOVA",0.543,0.716090679168701
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANOVA",0.411,0.722385406494141
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANOVA",0.41,0.827419281005859
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANOVA",0.052,0.815439462661743
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANOVA",0.411,0.696759939193726
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANOVA",0.411,0.719329357147217
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANOVA",0.411,0.753398180007935
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANOVA",0.293,0.721899509429932
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANOVA",0.293,0.72314453125
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANOVA",0.049,0.775410890579224
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANOVA",0.292,0.717056274414062
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANOVA",0.293,0.695346832275391
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANOVA",0.293,0.746575832366943
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANOVA",0.237,0.702251195907593
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANOVA",0.235,0.7236008644104
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANOVA",0.059,0.775020837783813
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANOVA",0.235,0.695739269256592
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANOVA",0.237,0.713078737258911
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANOVA",0.237,0.714544296264648
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANOVA",0.213,0.731104850769043
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANOVA",0.212,0.733708620071411
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANOVA",0.058,0.807898283004761
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANOVA",0.209,0.726362943649292
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANOVA",0.213,0.74504804611206
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANOVA",0.213,0.728458404541016
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANOVA",0.775,0.718927145004272
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANOVA",0.771,0.714909553527832
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANOVA",0.056,0.836554288864136
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANOVA",0.771,0.734049320220947
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANOVA",0.775,0.733953714370728
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANOVA",0.775,0.692633152008057
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANOVA",0.631,0.735743284225464
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANOVA",0.626,0.71094274520874
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANOVA",0.055,0.779169082641602
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANOVA",0.626,0.690650463104248
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANOVA",0.631,0.667067289352417
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANOVA",0.631,0.710889101028442
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANOVA",0.468,0.717144250869751
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANOVA",0.471,0.670123815536499
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANOVA",0.054,0.778690099716187
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANOVA",0.47,0.688741683959961
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANOVA",0.468,0.799181938171387
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANOVA",0.468,1.12579441070557
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANOVA",0.387,0.694865703582764
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANOVA",0.383,0.689642429351807
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANOVA",0.06,0.846551895141602
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANOVA",0.385,0.811014652252197
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANOVA",0.387,0.739100456237793
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANOVA",0.387,0.69027829170227
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANOVA",0.317,0.759701013565063
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANOVA",0.322,0.697145223617554
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANOVA",0.06,0.763819932937622
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANOVA",0.32,0.737632751464844
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANOVA",0.317,0.691678047180176
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANOVA",0.317,1.09943699836731
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANOVA",0.921,0.743951320648193
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANOVA",0.917,0.689343452453613
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANOVA",0.06,0.85905122756958
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANOVA",0.917,0.709671020507812
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANOVA",0.921,0.710744142532349
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANOVA",0.921,0.750892639160156
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANOVA",0.813,0.697175025939941
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANOVA",0.815,0.710598707199097
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANOVA",0.06,0.803448438644409
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANOVA",0.82,0.691381692886353
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANOVA",0.813,0.713661909103394
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANOVA",0.813,0.711463212966919
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANOVA",0.658,0.695527791976929
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANOVA",0.662,0.709994554519653
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANOVA",0.059,1.1640408039093
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANOVA",0.657,0.688121557235718
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANOVA",0.658,0.686877727508545
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANOVA",0.658,0.730667352676392
