"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANOVA",0.999,0.767354488372803
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANOVA",0.911,0.660456895828247
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANOVA",0.926,0.705553531646729
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANOVA",0.937,0.706551313400269
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANOVA",0.999,0.767436742782593
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANOVA",0.932,0.715072631835938
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANOVA",0.947,0.711715459823608
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANOVA",0.957,0.705641746520996
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANOVA",0.999,0.76669716835022
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANOVA",0.949,0.67125129699707
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANOVA",0.96,0.685632944107056
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANOVA",0.966,0.67026424407959
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANOVA",0.999,0.741258144378662
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANOVA",0.964,0.661943674087524
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANOVA",0.071,0.688163995742798
"Transformación logarítmica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANOVA",0.134,0.728566408157349
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANOVA",0.967,0.753320932388306
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANOVA",0.096,0.663383483886719
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANOVA",0.062,0.684943199157715
"Transformación logarítmica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANOVA",0.149,0.670701742172241
