"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2275,1000,"MANTA",0.633,1.0785665512085
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2275,1000,"MANTA",0.978,1.49544858932495
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2275,1000,"MANTA",0.599,1.10185551643372
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2275,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2275,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.245,1000,"MANTA",0.666,1.08974003791809
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.245,1000,"MANTA",0.703,1.06786799430847
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.245,1000,"MANTA",0.978,1.47346782684326
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.245,1000,"MANTA",0.679,1.065753698349
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.245,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.245,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2625,1000,"MANTA",0.747,1.09589600563049
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2625,1000,"MANTA",0.773,1.08785486221313
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2625,1000,"MANTA",0.98,1.54241919517517
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2625,1000,"MANTA",0.754,1.0740487575531
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2625,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2625,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.28,1000,"MANTA",0.796,1.09393858909607
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.28,1000,"MANTA",0.818,1.30085468292236
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.28,1000,"MANTA",0.979,1.5238254070282
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.28,1000,"MANTA",0.81,1.09992957115173
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.28,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.28,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANTA",0.845,1.11878705024719
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANTA",0.859,1.06840038299561
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANTA",0.98,1.46438217163086
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANTA",0.846,1.08853888511658
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2975,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANTA",0.897,1.09125208854675
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANTA",0.891,1.07910704612732
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANTA",0.98,1.50426030158997
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANTA",0.892,1.15104413032532
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.315,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANTA",0.928,1.05726003646851
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANTA",0.917,1.07111930847168
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANTA",0.981,1.52564859390259
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANTA",0.924,1.18349862098694
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.3325,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANTA",0.955,1.0828902721405
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANTA",0.947,1.11328911781311
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANTA",0.981,1.61776185035706
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANTA",0.946,1.15310120582581
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.35,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",0.064,1.1232602596283
"Transformación logarítmica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",0.101,1.13638758659363
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",0.887,2.03061175346375
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",0.075,1.11605095863342
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",NA,NA
