"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.2,1,NA,0.008,1.04463791847229,0.003,0.899338245391846,0.5,90.9090909090909
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.4,1,NA,0.01,1.07260179519653,0.003,1.02110409736633,0.7,107.692307692308
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.6,1,NA,0.011,1.09729099273682,0.003,0.68750524520874,0.8,114.285714285714
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.8,1,NA,0.011,1.06682252883911,0.003,0.682214021682739,0.8,114.285714285714
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0,1,NA,1,1.16918182373047,1,0.685879468917847,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.2,1,NA,1,1.07991313934326,1,0.683242321014404,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.4,1,NA,1,1.09771299362183,1,0.70732045173645,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.6,1,NA,1,1.20806741714478,0.999,0.731922388076782,0.1,0.100050025012506
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.8,1,NA,0.998,1.17861342430115,1,0.889917850494385,0.2,0.2002002002002
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0,1,NA,1,1.08573508262634,1,0.702038288116455,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.2,1,NA,1,1.06529474258423,1,0.683154821395874,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.4,1,NA,1,1.05954003334045,1,0.689635276794434,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.6,1,NA,1,1.09775876998901,1,0.703548669815063,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.8,1,NA,1,1.22564578056335,1,0.755297899246216,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0,1,NA,1,1.05942392349243,1,0.68098521232605,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.2,1,NA,1,1.07909154891968,1,0.646042346954346,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.4,1,NA,1,1.16205835342407,1,0.703184127807617,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.6,1,NA,1,1.10684895515442,1,0.682631731033325,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.8,1,NA,1,1.23664569854736,1,0.701875925064087,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0,1,NA,1,1.13110947608948,1,0.682599782943726,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.2,1,NA,1,1.2748715877533,1,0.764899492263794,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.4,1,NA,1,1.11958003044128,1,1.05163168907166,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.6,1,NA,1,1.12374997138977,1,0.699895858764648,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.8,1,NA,1,1.42944097518921,1,0.708147764205933,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0,1,NA,1,1.08918762207031,1,0.887819766998291,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.2,1,NA,1,1.07858300209045,1,0.679964303970337,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.4,1,NA,1,1.25815391540527,1,0.758727788925171,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.6,1,NA,1,1.12463545799255,1,0.698014736175537,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.8,1,NA,1,1.28982758522034,1,0.871848583221436,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0,1,NA,0,1.09867835044861,0,0.663567543029785,0,NA
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.2,1,NA,0,1.07591152191162,0,0.697874069213867,0,NA
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.4,1,NA,0,1.05641889572144,0,0.677488088607788,0,NA
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.6,1,NA,0,1.24393272399902,0,0.729601144790649,0,NA
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.8,1,NA,0.001,1.10036683082581,0,0.683066606521606,0.1,200
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0,1,NA,0.736,1.070317029953,0.698,0.695414066314697,3.8,5.29986052998606
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.2,1,NA,0.682,1.07798385620117,0.464,0.756436824798584,21.8,38.0453752181501
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.4,1,NA,0.485,1.08744668960571,0.26,0.686256170272827,22.5,60.4026845637584
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.6,1,NA,0.383,1.07608652114868,0.172,0.697509050369263,21.1,76.036036036036
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.8,1,NA,0.279,1.37674331665039,0.123,0.701590776443481,15.6,77.6119402985075
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0,1,NA,1,1.09237122535706,1,0.692697286605835,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.2,1,NA,1,1.10162830352783,1,0.680877923965454,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.4,1,NA,1,1.08008360862732,0.998,0.777109146118164,0.2,0.2002002002002
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.6,1,NA,0.998,1.06477761268616,0.988,0.700464248657227,1,1.00704934541793
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.8,1,NA,0.994,1.1869809627533,0.955,0.69536018371582,3.9,4.00205233453053
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0,1,NA,1,1.07088470458984,1,0.660562992095947,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.2,1,NA,1,1.05953311920166,1,0.683333396911621,0,0
