"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.8,1,NA,"MANTA",0.552,1.29381728172302
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0,1,NA,"MANTA",1,1.10378885269165
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.2,1,NA,"MANTA",1,1.08256363868713
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.4,1,NA,"MANTA",1,1.0425226688385
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.6,1,NA,"MANTA",1,1.06557822227478
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.8,1,NA,"MANTA",0.999,1.11339807510376
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0,1,NA,"MANTA",1,1.05952000617981
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.2,1,NA,"MANTA",1,1.10297012329102
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.4,1,NA,"MANTA",1,1.14427828788757
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.6,1,NA,"MANTA",1,1.07210278511047
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.8,1,NA,"MANTA",1,1.12574887275696
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0,1,NA,"MANTA",1,1.0444917678833
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.2,1,NA,"MANTA",1,1.04076480865479
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.4,1,NA,"MANTA",1,1.1314811706543
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.6,1,NA,"MANTA",1,1.06887102127075
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.8,1,NA,"MANTA",1,1.1147735118866
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0,1,NA,"MANTA",1,1.04601216316223
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.2,1,NA,"MANTA",1,1.08906984329224
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.4,1,NA,"MANTA",1,1.11129975318909
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.6,1,NA,"MANTA",1,1.11257648468018
